gene_name,chromosome,orientation,putative_genic_variant,nb_denovo_transcripts,transcript_name,transcript_start_in_genome_B1,transcript_end_in_genome_B1,nb_filtered_orf,neORF_candidate,neORF_start_in_genome_B0,neORF_end_in_genome_B0,genomic_overlap
STRG.123,2R_Chromosome,+,denovo,4,STRG.123.1,1724033,1730536,1,STRG.123.1_16_1140_1451,1725171,1725485,intergenic_transcripts
STRG.411,2R_Chromosome,+,denovo,1,STRG.411.3,4690178,4692841,1,STRG.411.3_4_1688_1939,4691864,4692118,intergenic_transcripts
STRG.445,2R_Chromosome,-,denovo,2,STRG.445.3,4904165,5066118,1,STRG.445.3_6_3367_3636,4905621,4905893,intergenic_transcripts
STRG.1048,2R_Chromosome,+,denovo,1,STRG.1048.1,9409920,9410986,1,STRG.1048.1_4_462_698,9410380,9410619,intergenic_transcripts
STRG.1315,2R_Chromosome,+,denovo,1,STRG.1315.1,11172759,11174204,1,STRG.1315.1_5_93_320,11172850,11173080,intergenic_transcripts
STRG.1319,2R_Chromosome,+,denovo,1,STRG.1319.1,11202294,11203131,1,STRG.1319.1_3_207_476,11202499,11202834,intergenic_transcripts
STRG.1433,2R_Chromosome,+,denovo,1,STRG.1433.1,12177791,12179681,1,STRG.1433.1_2_1105_1374,12178995,12179267,intergenic_transcripts
STRG.1470,2R_Chromosome,-,denovo,1,STRG.1470.1,12603271,12606083,1,STRG.1470.1_3_815_1246,12604834,12605268,intergenic_transcripts
STRG.1538,2R_Chromosome,+,denovo,2,STRG.1538.2,13065427,13068611,1,STRG.1538.2_2_140_244,13065565,13066100,intergenic_transcripts
STRG.1568,2R_Chromosome,-,denovo,2,STRG.1568.2,13263865,13264793,1,STRG.1568.2_4_147_662,13264128,13264646,intergenic_transcripts
STRG.1721,2R_Chromosome,-,denovo,1,STRG.1721.1,14468827,14469437,1,STRG.1721.1_1_142_297,14469081,14469295,intergenic_transcripts
STRG.1780,2R_Chromosome,+,denovo,1,STRG.1780.1,14772206,14772773,1,STRG.1780.1_2_345_440,14772549,14772647,intergenic_transcripts
STRG.1843,2R_Chromosome,+,denovo,1,STRG.1843.1,15214463,15227529,1,STRG.1843.1_30_8925_9272,15223386,15223736,intergenic_transcripts
STRG.1844,2R_Chromosome,-,denovo,1,STRG.1844.1,15214463,15227529,1,STRG.1844.1_16_11236_11589,15215937,15216293,intergenic_transcripts
STRG.1978,2R_Chromosome,+,denovo,2,STRG.1978.2,16066727,16072153,1,STRG.1978.2_6_1853_2026,16071754,16071930,intergenic_transcripts
STRG.2522,2R_Chromosome,-,denovo,1,STRG.2522.1,20148447,20161002,1,STRG.2522.1_12_1508_1720,20159279,20159494,intergenic_transcripts
STRG.2673,2R_Chromosome,+,denovo,1,STRG.2673.2,21198095,21199819,1,STRG.2673.2_5_1041_1205,21199196,21199363,intergenic_transcripts
STRG.2919,2R_Chromosome,-,denovo,1,STRG.2919.1,22601408,22603196,1,STRG.2919.1_1_298_693,22602500,22602898,intergenic_transcripts
STRG.3017,2R_Chromosome,-,denovo,1,STRG.3017.2,23188709,23189800,1,STRG.3017.2_2_800_1015,23188782,23189000,intergenic_transcripts
STRG.3117,3L_Chromosome,-,denovo,1,STRG.3117.4,633392,650124,1,STRG.3117.4_44_5355_5879,644242,644769,intergenic_transcripts
STRG.3157,3L_Chromosome,-,denovo,2,STRG.3157.2,821232,822991,1,STRG.3157.2_3_183_410,822578,822808,intergenic_transcripts
STRG.3395,3L_Chromosome,-,denovo,1,STRG.3395.1,2918594,2919368,1,STRG.3395.1_1_214_585,2918725,2919099,intergenic_transcripts
STRG.3451,3L_Chromosome,+,denovo,1,STRG.3451.1,3223718,3224305,1,STRG.3451.1_2_102_290,3223818,3224009,intergenic_transcripts
STRG.3748,3L_Chromosome,-,denovo,1,STRG.3748.2,5798337,5800261,1,STRG.3748.2_9_1611_1832,5798365,5798589,intergenic_transcripts
STRG.3818,3L_Chromosome,+,denovo,1,STRG.3818.1,6126063,6131794,1,STRG.3818.1_1_112_378,6131095,6131364,intergenic_transcripts
STRG.3869,3L_Chromosome,+,denovo,1,STRG.3869.1,6640536,6641435,1,STRG.3869.1_1_346_720,6640982,6641359,intergenic_transcripts
STRG.3891,3L_Chromosome,+,denovo,1,STRG.3891.1,6769898,6777079,1,STRG.3891.1_11_1188_1373,6772340,6772528,intergenic_transcripts
STRG.4314,3L_Chromosome,+,denovo,1,STRG.4314.1,9805019,9805937,1,STRG.4314.1_1_622_852,9805695,9805928,intergenic_transcripts
STRG.4349,3L_Chromosome,+,denovo,1,STRG.4349.1,10027809,10043498,1,STRG.4349.1_44_11691_12095,10039498,10039905,intergenic_transcripts
STRG.4356,3L_Chromosome,+,denovo,2,STRG.4356.2,10050161,10092602,1,STRG.4356.2_25_24826_25164,10090890,10091231,intergenic_transcripts
STRG.4356,3L_Chromosome,+,denovo,2,STRG.4356.3,10050161,10092602,1,STRG.4356.3_20_18172_18615,10068814,10069260,intergenic_transcripts
STRG.4663,3L_Chromosome,-,denovo,1,STRG.4663.1,11942221,11947224,1,STRG.4663.1_8_411_635,11946586,11946813,intergenic_transcripts
STRG.4811,3L_Chromosome,-,denovo,1,STRG.4811.1,12940709,12941499,1,STRG.4811.1_1_212_460,12940971,12941287,intergenic_transcripts
STRG.4814,3L_Chromosome,+,denovo,1,STRG.4814.1,12961151,12963484,1,STRG.4814.1_4_468_617,12961617,12961769,intergenic_transcripts
STRG.4943,3L_Chromosome,+,denovo,1,STRG.4943.1,13759985,13764621,1,STRG.4943.1_2_597_839,13764337,13764582,intergenic_transcripts
STRG.4955,3L_Chromosome,-,denovo,1,STRG.4955.1,13936425,13945759,1,STRG.4955.1_18_2379_2666,13939971,13940261,intergenic_transcripts
STRG.5064,3L_Chromosome,+,denovo,1,STRG.5064.1,14851327,14870458,1,STRG.5064.1_6_6145_6609,14859558,14860025,intergenic_transcripts
STRG.5426,3L_Chromosome,-,denovo,1,STRG.5426.1,17334309,17335133,1,STRG.5426.1_1_470_589,17334441,17334563,intergenic_transcripts
STRG.5510,3L_Chromosome,-,denovo,1,STRG.5510.1,17936609,17937118,1,STRG.5510.1_1_118_225,17936890,17937000,intergenic_transcripts
STRG.5514,3L_Chromosome,-,denovo,1,STRG.5514.1,17976421,17978258,1,STRG.5514.1_2_912_1139,17976735,17976965,intergenic_transcripts
STRG.5529,3L_Chromosome,+,denovo,1,STRG.5529.1,18069722,18072235,1,STRG.5529.1_6_1965_2255,18071738,18072031,intergenic_transcripts
STRG.5534,3L_Chromosome,-,denovo,1,STRG.5534.1,18085825,18088238,1,STRG.5534.1_5_2066_2350,18085885,18086172,intergenic_transcripts
STRG.5559,3L_Chromosome,+,denovo,2,STRG.5559.1,18340184,18345968,1,STRG.5559.1_11_4743_4937,18344925,18345122,intergenic_transcripts
STRG.5559,3L_Chromosome,+,denovo,2,STRG.5559.2,18346038,18348483,1,STRG.5559.2_7_1062_1244,18347098,18347283,intergenic_transcripts
STRG.5837,3L_Chromosome,-,denovo,1,STRG.5837.1,20313358,20314554,1,STRG.5837.1_4_495_689,20313862,20314059,intergenic_transcripts
STRG.5987,3L_Chromosome,-,denovo,1,STRG.5987.2,21235431,21238555,1,STRG.5987.2_8_2019_2363,21236189,21236536,intergenic_transcripts
STRG.6667,2L_Chromosome,-,denovo,1,STRG.6667.1,305521,309177,1,STRG.6667.1_8_2732_3184,305836,306291,intergenic_transcripts
STRG.6815,2L_Chromosome,-,denovo,3,STRG.6815.2,1348455,1383463,1,STRG.6815.2_2_1072_1290,1348553,1350283,intergenic_transcripts
STRG.6815,2L_Chromosome,-,denovo,3,STRG.6815.3,1365566,1383463,1,STRG.6815.3_28_5760_6143,1377317,1377703,intergenic_transcripts
STRG.6822,2L_Chromosome,-,denovo,1,STRG.6822.1,1468278,1469557,1,STRG.6822.1_2_329_727,1468827,1469228,intergenic_transcripts
STRG.6852,2L_Chromosome,-,denovo,1,STRG.6852.1,1759360,1762853,1,STRG.6852.1_14_2238_2519,1760331,1760615,intergenic_transcripts
STRG.6956,2L_Chromosome,-,denovo,1,STRG.6956.1,2336678,2337759,1,STRG.6956.1_1_574_669,2336782,2337185,intergenic_transcripts
STRG.7072,2L_Chromosome,-,denovo,1,STRG.7072.1,3082755,3083669,1,STRG.7072.1_1_487_624,3083042,3083182,intergenic_transcripts
STRG.7336,2L_Chromosome,+,denovo,1,STRG.7336.1,5269771,5272181,1,STRG.7336.1_1_278_673,5270047,5271736,intergenic_transcripts
