gene_name,chromosome,orientation,putative_genic_variant,nb_denovo_transcripts,transcript_name,transcript_start_in_genome_B1,transcript_end_in_genome_B1,nb_filtered_orf,neORF_candidate,neORF_start_in_genome_B0,neORF_end_in_genome_B0,genomic_overlap
STRG.62,2R_Chromosome,+,denovo,3,STRG.62.8,1125458,1134408,1,STRG.62.8_2_398_604,1125854,1126063,intergenic_transcripts
STRG.594,2R_Chromosome,-,denovo,1,STRG.594.1,5995487,6009302,1,STRG.594.1_3_566_724,5995878,5996039,intergenic_transcripts
STRG.775,2R_Chromosome,-,denovo,1,STRG.775.1,7205990,7215337,1,STRG.775.1_2_2338_2727,7209014,7209406,intergenic_transcripts
STRG.1012,2R_Chromosome,+,denovo,1,STRG.1012.1,8839785,8846044,1,STRG.1012.1_7_3035_3415,8842818,8843201,intergenic_transcripts
STRG.1336,2R_Chromosome,+,denovo,2,STRG.1336.2,11028823,11042612,1,STRG.1336.2_18_5993_6388,11034814,11035212,intergenic_transcripts
STRG.1761,2R_Chromosome,+,denovo,2,STRG.1761.3,14071775,14087801,1,STRG.1761.3_16_774_1436,14082400,14083065,intergenic_transcripts
STRG.1765,2R_Chromosome,+,denovo,2,STRG.1765.2,14157854,14179462,1,STRG.1765.2_38_414_977,14158266,14158832,intergenic_transcripts
STRG.1844,2R_Chromosome,+,denovo,4,STRG.1844.3,14653908,14656954,1,STRG.1844.3_1_396_491,14655795,14656298,intergenic_transcripts
STRG.2135,2R_Chromosome,-,denovo,2,STRG.2135.1,16904245,16905945,1,STRG.2135.1_3_360_548,16905021,16905301,intergenic_transcripts
STRG.2135,2R_Chromosome,-,denovo,2,STRG.2135.2,16904245,16905945,1,STRG.2135.2_3_360_602,16904998,16905301,intergenic_transcripts
STRG.2490,2R_Chromosome,+,denovo,1,STRG.2490.1,19455342,19460783,1,STRG.2490.1_1_316_480,19460458,19460625,intergenic_transcripts
STRG.2584,2R_Chromosome,+,denovo,1,STRG.2584.3,19951696,19953304,1,STRG.2584.3_2_176_547,19951870,19952244,intergenic_transcripts
STRG.2794,2R_Chromosome,-,denovo,1,STRG.2794.1,21366382,21373798,1,STRG.2794.1_13_3651_3902,21366476,21366730,intergenic_transcripts
